Name,Number,Date,Lawrence M. Farnese Jr.,Christine M. Tartaglione,Shirley M. Kitchen,LeAnna M. Washington,Michael J. Stack III,Robert M. Tomlinson,Vincent J. Hughes,Anthony H. Williams,Dominic F. Pileggi,Charles T. McIlhinney Jr.,Judith L. Schwank,Stewart J. Greenleaf,Lloyd K. Smucker,John T. Yudichak,Rob Teplitz,Patrick M. Browne,Daylin Leach,Lisa M. Boscola,Andrew E. Dinniman,Lisa Baker,Scott E. Hutchinson,John P. Blake,Gene Yaw,Bob Mensch,Joseph B. Scarnati III,Edwin B. Erickson,John R. Gordner,Scott R. Wagner,David G. Argall,John H. Eichelberger Jr.,Patricia H. Vance,Richard A Kasunic,Richard L. Alloway II,Jake Corman,John N. Wozniak,Michael W Brubaker,Matthew Smith,James Ferlo,Kim L. Ward,Randy Vulakovich,Donald C. White,Wayne D. Fontana,Jay Costa,John C. Rafferty Jr.,James R. Brewster,Timothy J. Solobay,Elder A. Vogel,Michael J Folmer,Sean D. Wiley,Robert D. Robbins
EXECUTIVE NOMINATIONS (ATTACHED),402,2014-01-28,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 1599 PN 2928, FINAL PASSAGE",401,2014-01-28,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 1167 PN 1698, FINAL PASSAGE",400,2014-01-28,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 1045 PN 1510, FINAL PASSAGE",399,2014-01-28,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
JOINT SESSION RESOLUTION,398,2014-01-28,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 1707 PN 2390, FINAL PASSAGE",407,2014-01-29,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 1341 PN 2597, FINAL PASSAGE",406,2014-01-29,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 57 PN 1660, CONCUR IN HOUSE AMENDMENTS",405,2014-01-29,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 1024 PN 1732, CONCURRENCE IN HOUSE AMENDMENTS AS AMENDED",404,2014-01-29,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"MOTION TO ACCEPT THE JOURNAL OF DECEMBER 3, 4 AND 9 2013",403,2014-01-29,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
EXECNOMS  PHILADELPHIA SCHOOL REFORM COMMISSION WILLIAM JOSEPH GREEN IV FARAH JIMENEZ,414,2014-02-04,Y,Y,X,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,X,Y
EXECUTIVE NOMINATIONS (ATTACHED),413,2014-02-04,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,X,Y
"HB 1559 PN 2927, FINAL PASSAGE",412,2014-02-04,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,X,Y
"SB 807 PN 1594, FINAL PASSAGE",411,2014-02-04,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,X,Y
"HB 777 PN 889, FINAL PASSAGE",410,2014-02-04,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,X,Y
"HB 374 PN 2942, FINAL PASSAGE",409,2014-02-04,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,X,Y
LRB ELECTION/JOINT SESSION RESOLUTION,408,2014-02-04,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,X,Y
"SB 1195 PN 1651, A5815, BLAKE AMENDMENT NO. A-5815",421,2014-03-10,Y,Y,Y,Y,Y,N,X,Y,N,N,Y,N,N,Y,Y,N,Y,Y,Y,N,N,Y,N,N,N,N,N,,N,N,N,Y,N,N,Y,N,Y,Y,N,N,N,Y,Y,N,Y,Y,N,N,Y,N
"SB 1195 PN 1651, A5952, SMITH AMENDMENT NO. A-5952",420,2014-03-10,Y,Y,Y,Y,Y,N,X,Y,N,N,Y,N,N,Y,Y,N,Y,Y,Y,N,N,Y,N,N,N,N,N,,N,N,N,Y,N,N,Y,N,Y,Y,N,N,N,Y,Y,N,Y,Y,N,N,Y,N
