Name,Number,Date,Lawrence M Farnese Jr.,Christine M. Tartaglione,Sharif Street,Art Haywood,John Patrick Sabatina Jr.,Robert M. Tomlinson,Vincent J. Hughes,Anthony H. Williams,Thomas H Killion,Steven J. Santarsiero,Judith L. Schwank,Maria Collett,Scott Martin,John T. Yudichak,John DiSanto,Patrick M. Browne,Daylin Leach,Lisa M. Boscola,Andrew E Dinniman,Lisa Baker,Scott E. Hutchinson,John P. Blake,Gene Yaw,Bob Mensch,Joseph B. Scarnati III,Timothy P. Kearney,John R. Gordner,Kristin Phillips-Hill,David G. Argall,Judy Ward,Mike Regan,Patrick J. Stefano,Doug Mastriano,Jake Corman,Wayne Langerholc,Ryan P. Aument,Pam Iovino,Lindsey M. Williams,Kim L. Ward,Mario M. Scavello,Joe Pittman,Wayne D. Fontana,Jay Costa,Katie J. Muth,James R. Brewster,Camera Bartolotta,Elder A. Vogel,David J Arnold Jr,Daniel Laughlin,Michele Brooks
"SB 863 PN 1660, FINAL PASSAGE",445,2020-04-29,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 360 PN 3660, FINAL PASSAGE",444,2020-04-29,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 935 PN 1516, FINAL PASSAGE",443,2020-04-29,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 934 PN 1515, FINAL PASSAGE",442,2020-04-29,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 368 PN 1383, FINAL PASSAGE",441,2020-04-29,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"JOURNAL  APPROVAL OF PREVIOUS DAY JOURNAL FOR WEDNESDAY, MARCH 25, 2020",440,2020-04-29,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 959 PN 1650, FINAL PASSAGE",451,2020-05-11,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"JOURNAL  APPROVAL OF PREVIOUS DAY JOURNAL FOR APRIL 6, 2020",450,2020-05-11,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 1122 PN 1699, FINAL PASSAGE",457,2020-05-12,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y
"SB 1128 PN 1698, FINAL PASSAGE",456,2020-05-12,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y
"HB 1076 PN 3594, FINAL PASSAGE",455,2020-05-12,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y
"SB 976 PN 1481, FINAL PASSAGE",454,2020-05-12,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y
"SB 976 PN 1481, A5557, HUGHES AMENDMENT NO. A-5557",453,2020-05-12,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,Y,Y,X,N,N,N,N,N
JOURNAL  APPROVAL OF PREVIOUS DAY JOURNAL FOR APRIL 7 2020,452,2020-05-12,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y
EXECNOMS  EXECUTIVE NOMINATIONS (ATTACHED),471,2020-05-13,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,X
"SB 327 PN 1700, CONCURRENCE IN HOUSE AMENDMENTS AS AMENDED",470,2020-05-13,N,N,N,N,N,Y,N,N,Y,N,N,N,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,N,X,Y,Y,Y,Y,X
"HB 2412 PN 3720, FINAL PASSAGE",469,2020-05-13,N,N,N,N,Y,Y,N,N,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,X,Y,Y,Y,Y,X
"HB 2412 PN 3720, A5591, COSTA AMENDMENT NO. A-5591",468,2020-05-13,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,Y,Y,X,N,N,N,N,X
"HB 2412 PN 3720, A5586, FONTANA AMENDMENT NO. A-5586",467,2020-05-13,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,Y,Y,X,N,N,N,N,X
"HB 2412 PN 3720, A5583, SCHWANK AMENDMENT NO. A-5583",466,2020-05-13,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,Y,Y,X,N,N,N,N,X
"HB 2388 PN 3719, FINAL PASSAGE",465,2020-05-13,N,N,N,N,Y,Y,N,N,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,N,X,Y,Y,Y,Y,X
"HB 2388 PN 3719, A5600, WILLIAMS, LINDSEY AMENDMENT NO. A-5600",464,2020-05-13,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,Y,Y,X,N,N,N,N,X
"HB 2388 PN 3719, A5572, SCHWANK AMENDMENT NO. A-5572",463,2020-05-13,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,Y,Y,X,N,N,N,N,X
"HB 2388 PN 3719, A5585, FONTANA AMENDMENT NO. A-5585",462,2020-05-13,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,Y,Y,X,N,N,N,N,X
"HB 2388 PN 3719, A5617, WILLIAMS, ANTHONY H. AMENDMENT NO. A-5617",461,2020-05-13,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,Y,Y,X,N,N,N,N,X
"HB 1522 PN 1917, FINAL PASSAGE",460,2020-05-13,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,X
"HB 327 PN 3678, FINAL PASSAGE",459,2020-05-13,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,X
"HB 280 PN 881, RECOMMIT TO THE COMMITTEE ON APPROPRIATIONS",458,2020-05-13,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,X
"JOURNAL  APPROVAL OF PREVIOUS DAY JOURNAL FOR APRIL 15, 2020",472,2020-05-26,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
EXECNOMS  EXECUTIVE NOMINATIONS (ATTACHED),483,2020-05-27,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 1048 PN 3863, FINAL PASSAGE",482,2020-05-27,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 1036 PN 3856, FINAL PASSAGE",481,2020-05-27,N,N,N,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y
"SB 915 PN 1717, FINAL PASSAGE",480,2020-05-27,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
HCRRR0001,479,2020-05-27,N,N,N,N,N,Y,N,N,Y,N,N,N,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,Y,Y,Y
"HB 1048 PN 3721, A5958, CORMAN AMENDMENT NO. A-5958",478,2020-05-27,N,N,N,N,N,Y,N,N,Y,N,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y
"HB 1036 PN 1208, A5952, CORMAN AMENDMENT NO. A-5952",477,2020-05-27,N,N,N,N,N,Y,N,N,Y,N,N,N,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,Y,Y,Y
"SB 594 PN 1390, FINAL PASSAGE",476,2020-05-27,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 377 PN 1401, FINAL PASSAGE",475,2020-05-27,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 102 PN 101, FINAL PASSAGE",474,2020-05-27,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
SR 310 PN 1517,473,2020-05-27,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 1122 PN 1731, CONCUR IN HOUSE AMENDMENTS",508,2020-05-28,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 1027 PN 1729, CONCUR IN HOUSE AMENDMENTS",507,2020-05-28,N,N,N,N,N,Y,N,N,Y,N,N,N,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,Y,Y,Y
"SB 1108 PN 1730, CONCUR IN HOUSE AMENDMENTS",506,2020-05-28,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 166 PN 1721, CONCURRENCE IN HOUSE AMENDMENTS AS AMENDED-RECONSIDER",505,2020-05-28,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 2510 PN 3866, FINAL PASSAGE",504,2020-05-28,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 1210 PN 3867, FINAL PASSAGE",503,2020-05-28,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y
"HB 1083 PN 3865, FINAL PASSAGE",502,2020-05-28,N,N,Y,Y,N,Y,N,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y
"SB 166 PN 1721, CONCURRENCE IN HOUSE AMENDMENTS AS AMENDED",501,2020-05-28,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 1076 PN 1560, FINAL PASSAGE",500,2020-05-28,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 2445 PN 3627, FINAL PASSAGE",499,2020-05-28,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 2444 PN 3626, FINAL PASSAGE",498,2020-05-28,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 2443 PN 3625, FINAL PASSAGE",497,2020-05-28,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 2442 PN 3624, FINAL PASSAGE",496,2020-05-28,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 2441 PN 3623, FINAL PASSAGE",495,2020-05-28,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 2475 PN 3846, FINAL PASSAGE",494,2020-05-28,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 2474 PN 3845, FINAL PASSAGE",493,2020-05-28,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 2473 PN 3844, FINAL PASSAGE",492,2020-05-28,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 2472 PN 3843, FINAL PASSAGE",491,2020-05-28,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 2471 PN 3842, FINAL PASSAGE",490,2020-05-28,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 2470 PN 3841, FINAL PASSAGE",489,2020-05-28,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 2469 PN 3840, FINAL PASSAGE",488,2020-05-28,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 2468 PN 3839, FINAL PASSAGE",487,2020-05-28,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 2467 PN 3838, FINAL PASSAGE",486,2020-05-28,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 2387 PN 3837, FINAL PASSAGE",485,2020-05-28,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y
"HB 1907 PN 2674, FINAL PASSAGE",484,2020-05-28,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 905 PN 1754, CONCURRENCE IN HOUSE AMENDMENTS AS AMENDED",514,2020-06-08,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
EXECNOMS  EXECUTIVE NOMINATIONS (ATTACHED),513,2020-06-08,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 927 PN 1320, FINAL PASSAGE",512,2020-06-08,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 798 PN 1409, FINAL PASSAGE",511,2020-06-08,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 276 PN 227, FINAL PASSAGE",510,2020-06-08,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"JOURNAL  APPROVAL OF PREVIOUS DAY JOURNAL FOR APRIL 20, 2020",509,2020-06-08,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
EXECNOMS  EXECUTIVE NOMINATIONS (ATTACHED),522,2020-06-09,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
HR 836 PN 3910,521,2020-06-09,N,N,N,N,N,Y,N,N,Y,N,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y
"HB 1510 PN 3854, FINAL PASSAGE",520,2020-06-09,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
